trial,category,coverage,count,knn,ft,pre,fc,pc,own
shapenet2,airplane,0.0,0.0,0.9894189956665799,0.0756287276744842,0.0241907835006713,1,1,loudspeaker
shapenet3,airplane,-2.221469673450136,18.0,0.3591643925697206,0.186508446931839,0.1602188944816589,1,1,bench
shapenet4,airplane,-6.022724823483094,412.0,0.04285423734702764,0.3979982361197471,0.2167392373085022,1,1,airplane
shapenet5,airplane,0.0,0.0,0.8101496963186151,0.0448853373527526,0.0364487171173095,0,0,sofa
shapenet6,airplane,-0.9241962407465937,5.0,0.16785626786366126,0.0949143469333648,0.0723785758018493,1,1,bench
shapenet10,airplane,0.0,0.0,0.9634654143843947,-0.1186309456825256,-0.1119518280029296,0,0,display
shapenet11,airplane,-3.496275593487256,89.0,0.12414951749912169,0.045557677745819,0.0410408675670623,1,1,watercraft
shapenet13,airplane,-5.561518389023895,263.6666666666667,0.03756562672871246,0.4560934454202652,0.0926105976104736,1,1,airplane
shapenet15,airplane,0.0,0.0,1.1484294848023051,0.116869181394577,0.089080661535263,1,1,cabinet
shapenet18,airplane,0.0,0.0,0.9890571811763778,0.1668956577777862,0.1286601424217224,1,1,table
shapenet19,airplane,0.0,0.0,0.8883781871922745,0.0677821934223175,0.0506073832511901,0,0,chair
shapenet20,airplane,-4.579110925633416,106.33333333333333,0.06629863050604631,0.0048527121543884,0.0637953877449035,0,1,bench
shapenet22,airplane,0.0,0.0,0.7571246167580519,0.2385740876197815,0.1911988854408264,1,1,chair
shapenet23,airplane,0.0,0.0,1.1217707015791945,-0.0926249921321868,-0.0585803687572479,0,0,loudspeaker
shapenet24,airplane,0.0,0.0,0.9874760520596437,0.0580335259437561,0.0579293370246887,1,1,cabinet
shapenet25,airplane,0.0,0.0,0.7315974154520833,0.215691477060318,0.2099210619926452,1,1,chair
shapenet26,airplane,0.0,0.0,0.43033345669475426,0.0306267589330673,-0.0800977349281311,0,0,watercraft
shapenet28,airplane,-5.854997599454045,353.6666666666667,0.030714850732574874,0.1207845211029052,-0.0009410977363586,1,0,airplane
shapenet35,airplane,0.0,0.0,0.7285138025247581,-0.0074018836021423,0.0031989216804504,0,0,telephone
shapenet37,airplane,0.0,0.0,0.7451656556347581,-0.0491062998771667,-0.0654328465461731,0,0,display
shapenet41,airplane,0.0,0.0,1.1809025616783821,0.0077051520347595,-0.03516685962677,0,0,cabinet
