descriptor,estimator,missing,all_fit,all_test,own_fit,own_test,oth_fit,oth_test
voxel16,nn1,0,-0.132358463105786,-0.13515824104274926,-0.2175715836853947,-0.21237345416540152,-0.0659289957309047,-0.06817205385715915
voxel16,knn5,0,-0.13083897752867038,-0.13329439799222043,-0.2144571396978251,-0.21174144969110328,-0.06346492132633542,-0.06529991998219146
voxel16,knn10,0,-0.12746186256365183,-0.13001618616954,-0.20862798954202147,-0.20731764322293467,-0.05932953479046378,-0.061298403259523224
voxel16,mean25,0,-0.1145592166786714,-0.1176927472125222,-0.18552147640950417,-0.18604701065932938,-0.04510787769326562,-0.04799506480661971
voxel16,centroid,0,-0.12228031743473809,-0.12539465362471028,-0.20391858152088468,-0.20126994780381743,-0.053175252497943665,-0.05622508174648388
voxel16,cov_q02,0,-0.10833646085700946,-0.10985585402270137,-0.12148541727068012,-0.13591710479306748,-0.020237419310928546,-0.01836128707386428
voxel16,cov_q05,0,-0.1091221562782284,-0.11175167230652644,-0.136862683706302,-0.14568480266927422,-0.017992442806786312,-0.018883074317928926
voxel16,cov_q10,0,-0.10760338154051001,-0.11109882912195693,-0.1643193689329719,-0.1688871787371835,-0.023717600516358277,-0.025917859432673284
bbox,nn1,0,-0.1112190683802527,-0.11703459941770517,-0.21539904237483895,-0.23180125900617043,-0.06629177195550359,-0.07086090149743757
bbox,knn5,0,-0.11731864714089295,-0.125039446016104,-0.21257628621443156,-0.22997394158253562,-0.0650935995235623,-0.07153823192019194
bbox,knn10,0,-0.1194506845592674,-0.1278965665539675,-0.2038317743483606,-0.21982825641096498,-0.06281683893630194,-0.07025678969910848
bbox,mean25,0,-0.1165322465373343,-0.12493791941077532,-0.1647398526229178,-0.17844478934929695,-0.052459764392878076,-0.060312357104513804
bbox,centroid,0,-0.11502051829977826,-0.1236492610123563,-0.17097791994060973,-0.185460026506104,-0.05237570973111482,-0.06056459051163126
bbox,cov_q02,0,-0.1547492744666679,-0.15836495695352862,-0.14529287386000747,-0.1529022983709434,-0.061482288041832964,-0.06445977798008752
bbox,cov_q05,0,-0.15322345444671634,-0.15664750302642183,-0.17798957991990988,-0.18032116339414053,-0.06612970465925666,-0.06942531330077883
bbox,cov_q10,0,-0.14223484791195487,-0.14666679728253443,-0.19084100481691635,-0.19737093193497182,-0.06536295473555065,-0.06926846008526502
structure,nn1,0,-0.13307879526776323,-0.13680947486272066,-0.19156109347802466,-0.18609463537484727,-0.08114787843605684,-0.08384529133288263
structure,knn5,0,-0.1297281526774066,-0.13442927589371093,-0.20671531270911203,-0.20443087699465978,-0.07278674447220224,-0.07650336237438622
structure,knn10,0,-0.12501404680586964,-0.13072043102031822,-0.20790782244852474,-0.20747381396030135,-0.06582211526642497,-0.07070155450950634
structure,mean25,0,-0.10966237012764095,-0.11674650671077105,-0.18819582201318888,-0.19303909137645073,-0.04812676327277231,-0.054793684043435674
structure,centroid,0,-0.11044190610247533,-0.11733169049509533,-0.20339358526936477,-0.2049400798326426,-0.045331055680375286,-0.05177347791490866
structure,cov_q02,0,-0.1286503805437632,-0.13543827093682725,-0.11111975382577614,-0.1208426450922613,-0.049386063131283235,-0.05100922477294412
structure,cov_q05,0,-0.13025372759951007,-0.13643850209837027,-0.14355214868050772,-0.15390008421730725,-0.04619607291249905,-0.049659824999602975
structure,cov_q10,0,-0.12912277318627155,-0.13554608409221638,-0.16881380932437556,-0.17331782110970473,-0.047727840105717595,-0.05245384336997066
volatility,nn1,0,-0.10882042991244184,-0.11359838205090683,-0.0817467718586125,-0.08387488102578522,-0.06617194855362961,-0.07074764186207526
volatility,knn5,0,-0.11879382315975393,-0.12327498648775788,-0.10322939610088602,-0.10552911841638747,-0.06677343978226748,-0.07065628041794346
volatility,knn10,0,-0.1167979345662303,-0.12221633579729893,-0.11274434205285598,-0.11891210209154064,-0.05859827342279431,-0.06305350566731217
volatility,mean25,0,-0.10727594983797052,-0.11308955745413952,-0.09709932928651367,-0.1047213969632495,-0.04021696576042566,-0.044397753987143636
volatility,centroid,0,-0.10451898498239144,-0.11135013210455219,-0.1031213841125494,-0.11558558926456047,-0.03715367260162057,-0.04206629613616699
volatility,cov_q02,0,-0.12191763954173412,-0.1290800831169346,-0.11591865611634568,-0.12500956090305362,-0.031573698759976315,-0.034869226105348476
volatility,cov_q05,0,-0.13470920318929003,-0.14273511333214164,-0.12475296715829418,-0.1414530542632565,-0.040137828786266615,-0.04455411521417723
volatility,cov_q10,0,-0.13289300779287488,-0.1408140056536745,-0.11623511126609781,-0.13892124112749601,-0.04587359055748859,-0.05003301369797986
multiview,nn1,0,-0.1516408525208261,-0.151898110899843,-0.14186686413829006,-0.1383571277058776,-0.09854287365936203,-0.09685170184755261
multiview,knn5,0,-0.152452360474638,-0.15304258023985845,-0.14645896479039539,-0.14663998040128645,-0.09109153648274075,-0.08932056789646811
