descriptor,estimator,n,all,own,other
bbox,nn1,28836,-0.14611142619979772,-0.17334633807955047,-0.057779956489459626
bbox,knn5,28836,-0.16953727713096808,-0.17388600371410404,-0.06441643538492678
bbox,knn10,28836,-0.18319733778521224,-0.15569922726757945,-0.06825715145961803
voxel16,nn1,28836,-0.21968953526879345,-0.0910030509876418,-0.11008884607237714
voxel16,knn5,28836,-0.22261650383296686,-0.08043406030162113,-0.1086099583857229
voxel16,knn10,28836,-0.22216556279048774,-0.06621676066869851,-0.10495943334696403
structure,nn1,28836,-0.18798250395329913,-0.0661225632799821,-0.11135706669189539
structure,knn5,28836,-0.18746545586902283,-0.077340379422918,-0.10370509126362717
structure,knn10,28836,-0.18675259799091332,-0.0866140386151419,-0.09819985655436522
dinov2_pretrained,nn1,31212,-0.34625223816483874,-0.25863523195401084,-0.1619351661995504
dinov2_pretrained,knn5,31212,-0.34453186923359874,-0.23315205656342267,-0.1643192896598792
dinov2_pretrained,knn10,31212,-0.33764433518683423,-0.1921639021926904,-0.16018494785957635
