dataset,condition,trial,oddity_index,images,pair_distance
airplane,airplane_cluster0,airplane_c0_bd46cedafa0568b070d98a97e17b4da3_0,0,"['airplane_602a71a251857294959a8a7d5a8a5077_011.png', 'airplane_bd46cedafa0568b070d98a97e17b4da3_002.png', 'airplane_bd46cedafa0568b070d98a97e17b4da3_009.png']",0.0005033588943264
airplane,airplane_cluster0,airplane_c0_bd46cedafa0568b070d98a97e17b4da3_1,2,"['airplane_bd46cedafa0568b070d98a97e17b4da3_002.png', 'airplane_bd46cedafa0568b070d98a97e17b4da3_006.png', 'airplane_842e5dcd452f34aa8caa71b1fbf7fb98_014.png']",0.09517742756240366
airplane,airplane_cluster0,airplane_c0_bd46cedafa0568b070d98a97e17b4da3_2,1,"['airplane_bd46cedafa0568b070d98a97e17b4da3_001.png', 'airplane_ca16041e31078463afe21c1ae3d91b49_008.png', 'airplane_bd46cedafa0568b070d98a97e17b4da3_004.png']",0.04366510500723575
airplane,airplane_cluster0,airplane_c0_64e36b948869a79683653a771e25099b_0,0,"['airplane_47006ce926cd5519b3f2b01de37c0b29_010.png', 'airplane_64e36b948869a79683653a771e25099b_000.png', 'airplane_64e36b948869a79683653a771e25099b_011.png']",0.22257264192558368
airplane,airplane_cluster0,airplane_c0_64e36b948869a79683653a771e25099b_1,0,"['airplane_47006ce926cd5519b3f2b01de37c0b29_010.png', 'airplane_64e36b948869a79683653a771e25099b_004.png', 'airplane_64e36b948869a79683653a771e25099b_002.png']",0.22257264192558368
airplane,airplane_cluster0,airplane_c0_64e36b948869a79683653a771e25099b_2,0,"['airplane_3427fa8e6ea160f1fd138baf628cf158_005.png', 'airplane_64e36b948869a79683653a771e25099b_007.png', 'airplane_64e36b948869a79683653a771e25099b_009.png']",0.22598898698651115
airplane,airplane_cluster0,airplane_c0_d3d788c1fb35227619ba010ddb4974fe_0,2,"['airplane_d3d788c1fb35227619ba010ddb4974fe_008.png', 'airplane_d3d788c1fb35227619ba010ddb4974fe_009.png', 'airplane_7bad9d15c0f0d3c03554ccf8c30febe7_000.png']",0.07119502915254583
airplane,airplane_cluster0,airplane_c0_d3d788c1fb35227619ba010ddb4974fe_1,0,"['airplane_dfed744828fceb4d28cd0e56fe42c08_005.png', 'airplane_d3d788c1fb35227619ba010ddb4974fe_008.png', 'airplane_d3d788c1fb35227619ba010ddb4974fe_004.png']",0.07094930824287937
airplane,airplane_cluster0,airplane_c0_d3d788c1fb35227619ba010ddb4974fe_2,0,"['airplane_e5610bbacaf098508b96ae1a0a8b84ec_009.png', 'airplane_d3d788c1fb35227619ba010ddb4974fe_009.png', 'airplane_d3d788c1fb35227619ba010ddb4974fe_013.png']",0.07071494922367116
airplane,airplane_cluster0,airplane_c0_20bf5bba045e5a53fdd77aff53f4b7ba_0,2,"['airplane_20bf5bba045e5a53fdd77aff53f4b7ba_002.png', 'airplane_20bf5bba045e5a53fdd77aff53f4b7ba_006.png', 'airplane_32edb6ba5788dc12d8ff6111270336a9_012.png']",0.1032993664415014
