dataset,condition,trial,oddity_index,images
banktrial,chair_cluster0,chair_c0_c0f2673cb32574014e972edcee1ee23_0,2,"['chair_c0f2673cb32574014e972edcee1ee23_003.png', 'chair_c0f2673cb32574014e972edcee1ee23_014.png', 'chair_6fa2db75b28cc1375c728bbce49718a0_009.png']"
banktrial,chair_cluster0,chair_c0_c0f2673cb32574014e972edcee1ee23_1,0,"['chair_7ee09fdece7d9142afdb9a672b7d3b8a_000.png', 'chair_c0f2673cb32574014e972edcee1ee23_012.png', 'chair_c0f2673cb32574014e972edcee1ee23_000.png']"
banktrial,chair_cluster0,chair_c0_c0f2673cb32574014e972edcee1ee23_2,2,"['chair_c0f2673cb32574014e972edcee1ee23_004.png', 'chair_c0f2673cb32574014e972edcee1ee23_006.png', 'chair_447a5eee395026fa8d09bc92d0fc6d3a_007.png']"
banktrial,chair_cluster0,chair_c0_dbf5ea40382c5efed30107faf024a18b_0,2,"['chair_dbf5ea40382c5efed30107faf024a18b_000.png', 'chair_dbf5ea40382c5efed30107faf024a18b_004.png', 'chair_9bbccaed652a88d0ad4feb1e0e9b77d9_004.png']"
banktrial,chair_cluster0,chair_c0_dbf5ea40382c5efed30107faf024a18b_1,1,"['chair_dbf5ea40382c5efed30107faf024a18b_002.png', 'chair_40f188600cf8362b654ea6737b0d3597_009.png', 'chair_dbf5ea40382c5efed30107faf024a18b_012.png']"
banktrial,chair_cluster0,chair_c0_dbf5ea40382c5efed30107faf024a18b_2,2,"['chair_dbf5ea40382c5efed30107faf024a18b_010.png', 'chair_dbf5ea40382c5efed30107faf024a18b_004.png', 'chair_40a9dd43155979e7c40cffb9454b27e_002.png']"
banktrial,chair_cluster0,chair_c0_c50c2887ba2b5535c32fd7e88552aa9_0,1,"['chair_c50c2887ba2b5535c32fd7e88552aa9_004.png', 'chair_4e26eab28703c12bdd5f3f2440a93d21_007.png', 'chair_c50c2887ba2b5535c32fd7e88552aa9_011.png']"
banktrial,chair_cluster0,chair_c0_c50c2887ba2b5535c32fd7e88552aa9_1,2,"['chair_c50c2887ba2b5535c32fd7e88552aa9_013.png', 'chair_c50c2887ba2b5535c32fd7e88552aa9_011.png', 'chair_da918b121ca55feb9b9f2eb77f5e247e_012.png']"
banktrial,chair_cluster0,chair_c0_c50c2887ba2b5535c32fd7e88552aa9_2,0,"['chair_8cb44a50906b827615e7ec87bf4cc5ab_010.png', 'chair_c50c2887ba2b5535c32fd7e88552aa9_001.png', 'chair_c50c2887ba2b5535c32fd7e88552aa9_010.png']"
banktrial,chair_cluster0,chair_c0_1b8e84935fdc3ec82be289de70e8db31_0,1,"['chair_1b8e84935fdc3ec82be289de70e8db31_013.png', 'chair_fe99f16c2532cdd07ba99ad16fdc05cd_008.png', 'chair_1b8e84935fdc3ec82be289de70e8db31_005.png']"
banktrial,chair_cluster0,chair_c0_1b8e84935fdc3ec82be289de70e8db31_1,0,"['chair_f1167a0c4bfc1f3fcf004563556ddb36_007.png', 'chair_1b8e84935fdc3ec82be289de70e8db31_002.png', 'chair_1b8e84935fdc3ec82be289de70e8db31_010.png']"
banktrial,chair_cluster0,chair_c0_1b8e84935fdc3ec82be289de70e8db31_2,0,"['chair_3aab16309520fb21dc0a8cba62d9a78a_000.png', 'chair_1b8e84935fdc3ec82be289de70e8db31_001.png', 'chair_1b8e84935fdc3ec82be289de70e8db31_007.png']"
banktrial,chair_cluster0,chair_c0_f8c5604f39699e0fbbc2b2aef664ba29_0,1,"['chair_f8c5604f39699e0fbbc2b2aef664ba29_011.png', 'chair_2bcf0b0586570ffe6c63b8b48495261a_014.png', 'chair_f8c5604f39699e0fbbc2b2aef664ba29_007.png']"
banktrial,chair_cluster0,chair_c0_f8c5604f39699e0fbbc2b2aef664ba29_1,0,"['chair_ad64210b56ed1bbf9096ff01c3d5022b_010.png', 'chair_f8c5604f39699e0fbbc2b2aef664ba29_011.png', 'chair_f8c5604f39699e0fbbc2b2aef664ba29_002.png']"
banktrial,chair_cluster0,chair_c0_f8c5604f39699e0fbbc2b2aef664ba29_2,1,"['chair_f8c5604f39699e0fbbc2b2aef664ba29_008.png', 'chair_58ef4177c711f38fe302d4da760c718f_013.png', 'chair_f8c5604f39699e0fbbc2b2aef664ba29_013.png']"
banktrial,chair_cluster0,chair_c0_7ee09fdece7d9142afdb9a672b7d3b8a_0,2,"['chair_7ee09fdece7d9142afdb9a672b7d3b8a_014.png', 'chair_7ee09fdece7d9142afdb9a672b7d3b8a_007.png', 'chair_6a7050042fbc77d5635418e95eea8a17_011.png']"
banktrial,chair_cluster0,chair_c0_7ee09fdece7d9142afdb9a672b7d3b8a_1,2,"['chair_7ee09fdece7d9142afdb9a672b7d3b8a_013.png', 'chair_7ee09fdece7d9142afdb9a672b7d3b8a_005.png', 'chair_447a5eee395026fa8d09bc92d0fc6d3a_010.png']"
banktrial,chair_cluster0,chair_c0_7ee09fdece7d9142afdb9a672b7d3b8a_2,0,"['chair_6a7050042fbc77d5635418e95eea8a17_013.png', 'chair_7ee09fdece7d9142afdb9a672b7d3b8a_004.png', 'chair_7ee09fdece7d9142afdb9a672b7d3b8a_005.png']"
banktrial,chair_cluster0,chair_c0_447a5eee395026fa8d09bc92d0fc6d3a_0,0,"['chair_5ab67b30e17a2ed1c862eec8232fff1e_013.png', 'chair_447a5eee395026fa8d09bc92d0fc6d3a_012.png', 'chair_447a5eee395026fa8d09bc92d0fc6d3a_002.png']"
banktrial,chair_cluster0,chair_c0_447a5eee395026fa8d09bc92d0fc6d3a_1,0,"['chair_fa277e2693cba669731d11154716a6b8_001.png', 'chair_447a5eee395026fa8d09bc92d0fc6d3a_008.png', 'chair_447a5eee395026fa8d09bc92d0fc6d3a_001.png']"
banktrial,chair_cluster0,chair_c0_447a5eee395026fa8d09bc92d0fc6d3a_2,0,"['chair_df23ca11080bb439676c272956dad3c2_000.png', 'chair_447a5eee395026fa8d09bc92d0fc6d3a_008.png', 'chair_447a5eee395026fa8d09bc92d0fc6d3a_014.png']"
banktrial,chair_cluster0,chair_c0_47dcabdd8618e5c4b3c9a4ebefe3bae0_0,2,"['chair_47dcabdd8618e5c4b3c9a4ebefe3bae0_004.png', 'chair_47dcabdd8618e5c4b3c9a4ebefe3bae0_014.png', 'chair_7ee09fdece7d9142afdb9a672b7d3b8a_010.png']"
banktrial,chair_cluster0,chair_c0_47dcabdd8618e5c4b3c9a4ebefe3bae0_1,1,"['chair_47dcabdd8618e5c4b3c9a4ebefe3bae0_010.png', 'chair_5283a98b5c693e64ebefe6b1d594ad2e_003.png', 'chair_47dcabdd8618e5c4b3c9a4ebefe3bae0_007.png']"
banktrial,chair_cluster0,chair_c0_47dcabdd8618e5c4b3c9a4ebefe3bae0_2,2,"['chair_47dcabdd8618e5c4b3c9a4ebefe3bae0_003.png', 'chair_47dcabdd8618e5c4b3c9a4ebefe3bae0_002.png', 'chair_4e438ade91769be8c8687ff9b0b4e4ac_012.png']"
banktrial,chair_cluster0,chair_c0_4e438ade91769be8c8687ff9b0b4e4ac_0,1,"['chair_4e438ade91769be8c8687ff9b0b4e4ac_013.png', 'chair_6a7050042fbc77d5635418e95eea8a17_003.png', 'chair_4e438ade91769be8c8687ff9b0b4e4ac_007.png']"
banktrial,chair_cluster0,chair_c0_4e438ade91769be8c8687ff9b0b4e4ac_1,2,"['chair_4e438ade91769be8c8687ff9b0b4e4ac_007.png', 'chair_4e438ade91769be8c8687ff9b0b4e4ac_009.png', 'chair_3aab16309520fb21dc0a8cba62d9a78a_012.png']"
banktrial,chair_cluster0,chair_c0_4e438ade91769be8c8687ff9b0b4e4ac_2,0,"['chair_2bd045838a2282ab5205884f75aba3a_013.png', 'chair_4e438ade91769be8c8687ff9b0b4e4ac_007.png', 'chair_4e438ade91769be8c8687ff9b0b4e4ac_009.png']"
