dataset,condition,trial,oddity_index,images,pair_distance
airplane,airplane_train_c0,airplane_c0_train_8c1d67bf88f34ac55823df672991ed66_0,2,"['airplane_8c1d67bf88f34ac55823df672991ed66_011.png', 'airplane_8c1d67bf88f34ac55823df672991ed66_001.png', 'airplane_d31a0f4f945775de5823df672991ed66_008.png']",2.717693369036489e-05
airplane,airplane_train_c0,airplane_c0_train_8c1d67bf88f34ac55823df672991ed66_1,1,"['airplane_8c1d67bf88f34ac55823df672991ed66_002.png', 'airplane_d31a0f4f945775de5823df672991ed66_013.png', 'airplane_8c1d67bf88f34ac55823df672991ed66_006.png']",2.717693369036489e-05
airplane,airplane_train_c0,airplane_c0_train_8c1d67bf88f34ac55823df672991ed66_2,1,"['airplane_8c1d67bf88f34ac55823df672991ed66_011.png', 'airplane_5d0d3f54c5d9dd386a1aee7416e39fad_014.png', 'airplane_8c1d67bf88f34ac55823df672991ed66_001.png']",0.08853434680049377
airplane,airplane_train_c0,airplane_c0_train_ece25d89898c7d9090b1d6deb98feec6_0,1,"['airplane_ece25d89898c7d9090b1d6deb98feec6_002.png', 'airplane_1d63eb2b1f78aa88acf77e718d93f3e1_009.png', 'airplane_ece25d89898c7d9090b1d6deb98feec6_007.png']",0.03628149170195849
airplane,airplane_train_c0,airplane_c0_train_ece25d89898c7d9090b1d6deb98feec6_1,2,"['airplane_ece25d89898c7d9090b1d6deb98feec6_010.png', 'airplane_ece25d89898c7d9090b1d6deb98feec6_003.png', 'airplane_a3927542339a2c491b1cc145b0144991_007.png']",0.051932284731292744
airplane,airplane_train_c0,airplane_c0_train_ece25d89898c7d9090b1d6deb98feec6_2,1,"['airplane_ece25d89898c7d9090b1d6deb98feec6_014.png', 'airplane_6c931227c1735c329df8dd4a2554378c_002.png', 'airplane_ece25d89898c7d9090b1d6deb98feec6_007.png']",0.07051627402528904
airplane,airplane_train_c0,airplane_c0_train_12c82319147385e7ef0e1705c5c9e361_0,2,"['airplane_12c82319147385e7ef0e1705c5c9e361_007.png', 'airplane_12c82319147385e7ef0e1705c5c9e361_011.png', 'airplane_ed709305e61acf6a9b017c80f62649a0_005.png']",0.022807059395621665
airplane,airplane_train_c0,airplane_c0_train_12c82319147385e7ef0e1705c5c9e361_1,0,"['airplane_5c379a118ec80927febd4e8b843c95aa_013.png', 'airplane_12c82319147385e7ef0e1705c5c9e361_003.png', 'airplane_12c82319147385e7ef0e1705c5c9e361_008.png']",0.031055953923406987
airplane,airplane_train_c0,airplane_c0_train_12c82319147385e7ef0e1705c5c9e361_2,0,"['airplane_5c379a118ec80927febd4e8b843c95aa_000.png', 'airplane_12c82319147385e7ef0e1705c5c9e361_010.png', 'airplane_12c82319147385e7ef0e1705c5c9e361_006.png']",0.031055953923406987
airplane,airplane_train_c0,airplane_c0_train_369244d49f8f1308b858e64ff0fa8db3_0,2,"['airplane_369244d49f8f1308b858e64ff0fa8db3_006.png', 'airplane_369244d49f8f1308b858e64ff0fa8db3_003.png', 'airplane_4063fb031d8fb78e505ae8d422ba349d_012.png']",0.2582541923054391
airplane,airplane_train_c0,airplane_c0_train_369244d49f8f1308b858e64ff0fa8db3_1,0,"['airplane_4063fb031d8fb78e505ae8d422ba349d_003.png', 'airplane_369244d49f8f1308b858e64ff0fa8db3_013.png', 'airplane_369244d49f8f1308b858e64ff0fa8db3_007.png']",0.2582541923054391
airplane,airplane_train_c0,airplane_c0_train_369244d49f8f1308b858e64ff0fa8db3_2,2,"['airplane_369244d49f8f1308b858e64ff0fa8db3_006.png', 'airplane_369244d49f8f1308b858e64ff0fa8db3_005.png', 'airplane_4063fb031d8fb78e505ae8d422ba349d_007.png']",0.2582541923054391
airplane,airplane_train_c0,airplane_c0_train_91f8e08144218e2d23fc69eefd95e6d3_0,2,"['airplane_91f8e08144218e2d23fc69eefd95e6d3_011.png', 'airplane_91f8e08144218e2d23fc69eefd95e6d3_009.png', 'airplane_89b6f678789287a3d3128304aa2279ec_013.png']",0.06501396190371656
airplane,airplane_train_c0,airplane_c0_train_91f8e08144218e2d23fc69eefd95e6d3_1,0,"['airplane_6f96857e279a38793525b6164e3f382b_006.png', 'airplane_91f8e08144218e2d23fc69eefd95e6d3_000.png', 'airplane_91f8e08144218e2d23fc69eefd95e6d3_014.png']",0.048065179711119566
airplane,airplane_train_c0,airplane_c0_train_91f8e08144218e2d23fc69eefd95e6d3_2,1,"['airplane_91f8e08144218e2d23fc69eefd95e6d3_000.png', 'airplane_6f96857e279a38793525b6164e3f382b_012.png', 'airplane_91f8e08144218e2d23fc69eefd95e6d3_006.png']",0.048065179711119566
